,replacement
9135,kishale
9138,isalalo
9139,gwanumpu a
9140,ngujini
9141,mamburay
9142,ndalambo kati
9143,kabera
9145,kerenero
9147,centre
9148,ukereni
9150,nyanzenda center
9152,usari
9156,nyakitanga
9166,usita
9168,uhemeli kati
9173,nyandagwa
9176,misheni c
9179,bastena
9181,nsasa
9184,lusangi
9185,mbae mashariki
9188,m/kati
9189,kibohehe
9191,no 1
9192,nyaruziba
9193,centre
9194,shanga
9195,kabela
9196,kambai
9204,masange
9205,kwaraa
9208,ng'amba
9217,makili a
9219,mkapita
9225,itungulu
9226,mabangala
9227,ilela
9228,kilungu
9230,isoka
9231,usisya kati
9234,simha
9235,kwiriba
9236,lituhi 'a'
9237,kwitangi
9239,sia
9240,amrushu kisale
9242,ngogomoni
9245,kishewa
9247,mungumaji
9248,yerico
9249,mipeko b
9255,mji a
9258,ngweni
9259,nyarukongogo a
9262,lusind
9263,bwawan
9264,matwalani
9265,nyalikungu
9266,ishihimulwa
9269,marumbo
9278,kibululu
9280,nsongoro
9281,makovo
9282,lulanzi
9284,nyambili kaskazin
9285,mkapita
9286,kagoye b
9287,mbarika
9288,mkapita
9289,katela
9291,hasale
9292,maduka
9296,mgwasi
9299,difungo
9302,ngelele
9304,kwiriba
9310,mkuhi kati
9312,centre
9313,fukayosi
9317,mubamba
9320,kasanda
9321,makovo
9325,misheni kati
9326,lusangi
9330,mremre
9333,nyabianga ya kati
9334,sopa kati
9335,mofi
9336,izika
9344,stendi mpya
9349,ngando
9364,kangabusharo
9365,hinjiri
9367,shuleni street
9368,namatinganya
9369,nzovu
9370,lwanji
9374,singiwe a
9376,lusangi
9378,iyalawe
9379,nyabihore
9382,kibululu
9384,kashozi b
9385,chela center
9386,litembo chini
9387,sokomsuya
9390,kaluyango
9391,no 1
9395,ruaha kati
9397,tuleane
9402,shebomeza
9403,mininga a
9415,kiwela a
9416,jj
9420,ipilingitya
9421,kigugu
9425,mitaga
9431,mhunda
9435,mbarika
9436,kuvukareli
9438,iyalawe
9439,rabai
9440,sogeambele
9446,itaba
9451,nkeso a
9452,arkaria
9457,rutenge a
9458,sopa kati
9461,ishima
9462,ngwamkanga
9465,i/kati
9466,kisanjuni
9468,chakwale mjini
9474,mchombe a
9475,kasanda
9478,mirambi
9481,d/mashariki
9484,mlenvya
9485,liwola
9490,tlawi juu
9491,nsojo
9494,bugumwa
9498,elwahi
9499,mhaka
9500,jumuiya
9504,kamnyalile
9506,nyabinsinda
9508,itungulu
9509,ngongomi
9510,mhaka
9511,nyakibanga
9512,tanya
9519,chimate kati
9521,kudipera
9522,mji a
9525,kidalini
9526,lusangi
9531,kilungu
9538,kasemi
9540,batini b
9543,nyanzenda center
9546,shihando
9549,ikiligano
9552,kitonto
9554,sayuni
9555,orbesh
9556,nyakibanga
9557,imisigiyo
9558,ntuwe
9560,ngwala kati
9561,liwola
9562,dulaghag
9563,nyabusozi
9566,kidalini
9567,itungulu
9570,madizini kati
9571,shuleni street
9572,unyang'ongo
9574,mofi
9575,singiwe a
9576,mae kati
9577,ruponda
9579,amrushu kisale
9581,sufi
9585,napoko
9587,mubamba
9588,igegu
9594,moteti
9597,chiloloma
9598,sopa kati
9599,matanka
9601,msimba a
9605,mchekeni
9606,kwiriba
9607,mkoka
9609,irua
9610,mji a
9611,centre
9614,masanwa
9619,mchekeni
9622,mbasakati
9628,iropa
9630,benaco
9631,matanda
9633,lobulu
9634,moyamayoka
9635,kenswa mta wa kwanza
9640,isalalo
9642,yerico
9643,nsongoro
9645,mtalala
9648,upondya
9649,nyamalebe
9652,barabara 7
9653,hengeni
9658,ilela
9662,kitipwi
9665,kagenyi b
9666,idopedope
9668,kibululu
9671,tuleane
9672,nzihi b
9678,omukashenyi
9680,kamsamba kati
9688,imalangi
9693,kigale
9698,walla
9700,kabagombe
9701,namalema
9702,nyanghuluku
9703,kaseke
9704,chankabwimba
9705,itaba
9706,mwandeti
9709,ntapisi kati
9711,litembo chini
9718,centre
9724,kwiriba
9726,lepoloseki
9728,lufilyo
9729,ndulele
9733,masumuni
9735,barabara 7
9736,itete a
9738,moniki
9739,mzambaraweni
9745,bwawan
9746,nkiniziwa c
9747,mbambala
9748,mae kati
9754,tuleane
9755,chakalamba
9759,general tyre
9760,hinjiri
9761,mara b
9762,mtalala
9763,songosongo
9768,dofa
9769,jumuiya
9770,beselini
9772,ugunigu
9773,junjuhu
9775,ngombezi
9778,mwabusalu
9781,kibati
9782,amuhama
9784,matosa
9786,murusagamba
9787,jj
9788,mbarika
9791,mji a
9795,mofi
9797,mji a
9800,nyabusozi
9801,kindiwiti
9802,iziwira
9803,geteba
9806,chakalamba
9807,magangasenga
9808,balangai
9809,bukigi
9810,msanzi kati
9811,kasanda
9815,itete a
9816,maduka
9817,mayanda
9821,no 1
9823,mjenga
9824,mkululu
9827,busango
9828,maforoni kati
9830,moniki
9836,kabela
9838,buswalila
9845,manga juu
9846,mbesi
9849,unguuni
9850,kahangara
9856,mauo
9859,no 1
9865,ubela
9868,walla
9869,budushi b
9871,shangweni
9879,mlesa
9880,utsewa
9882,bermi a
9883,mkorongoni
9884,tuleane
9885,i/kati
9893,kwevigingi
9895,ismailiya
9897,mwalukuliko
9898,i/kati
9899,mhunda
9902,shungubweni
9905,kilungu
9909,kabera
9910,mshoka
9911,omukashenyi
9912,mshoka
9914,lalago mjini
9915,mkoka
9918,iwanga kati
9919,ikovo
9920,walla
9921,isalalo
9923,mbae mashariki
9925,kishewa
9926,kitogoto
9933,nsololo tankini
9934,mwaluzilo
9935,handei
9937,liwola
9938,sangamwampuya
9939,mgololo
9940,ndorobo b
9943,ndalambo kati
9944,kijombo k
9945,weruweru
9951,moniki
9952,kaduduma
9953,mengeni
9954,chanyangabwa a
9957,emao
9958,mbingu
9959,mubamba
9961,maji coast
9962,nzihi b
9964,nyabihore
9965,mwagwisu
9966,isalalo
9968,ipilingitya
9972,matyazo a
9974,nyashishi
9975,mgeduli
9976,matadi a
9977,mgwasi
9979,mikameni
9984,ishima
9985,stand a
9986,lusahunga kati
9987,nselembwe
9988,kerenero
9989,ishilanga
9995,uponera juu
9996,gumali
9998,mbaaseny
9999,tlawi juu
10000,kumwai
10002,gumali
10003,kyafuma
10013,iwiji
10016,mria
10017,bermi a
10018,mubamba
10019,kainam
10023,kavambughu
10025,mkwalia
10027,sopa kati
10028,loloiboni
10029,kamambande
10030,chabula
10033,bunukangoma
10034,itaba
10038,kavambughu
10045,mkapita
10046,mtindili
10047,tuleane
10051,balangai
10052,kimiza
10053,nyanghuluku
10055,m/kati
10056,kibululu
10063,sangamwampuya
10066,ituni
10069,bulyang'ombe kati
10071,lusangi
10072,chakahaya
10074,no 1
10076,mshoka
10077,migambo
10079,isingiro stati
10081,toronto
10082,lusangi
10083,irangi
10085,buseko
10088,mininga a
10090,chalinze mzee b
10091,litembo chini
10093,kipogoro
10098,mofi
10099,mengeni
10100,naimba
10101,i/kati
10102,mgholo
10104,igegu
10107,some
10115,kabagombe
10117,mgama a
10118,mtaa wa zingiziwa
10121,mkwaja
10124,ikenywa
10126,shanga
10128,igo
10130,imisigiyo
10131,mbambala
10132,wasso
10133,ilongelo
10135,ishigwandama
10136,ng'ai
10137,walla
10140,mjenga
10141,itaja
10144,gumali
10145,ndamba
10147,nsambya
10148,tuleane
10150,msanzi kati
10153,ubamba b
10156,amuhama
10158,nyabuyange b
10161,igomamhuli a
10164,itete a
10165,lumbila kati
10166,mokoro
10167,ngando
10172,mwabakali
10173,nyambili kaskazin
10176,itungulu
10177,kwiriba
10180,shungubweni
10181,kaluyango
10182,hilu
10184,kwamshitu
10186,bermi a
10187,mkula a
10188,mji a
10192,mwamagunguli
10194,ngado
10195,omukashenyi
10197,maini
10198,shuleni street
10201,godauni a
10202,mapinduzi b
10204,rabiro
10207,mkorongoni
10209,kilemba
10218,lwanji
10220,chakwale mjini
10222,kagenyi b
10223,mhaka
10229,mtaa wa zingiziwa
10230,kafulo
10231,mbangamao
10233,mirambi
10235,mahango
10236,kidalini
10238,tundwi centre
10243,itaba
10247,walla
10252,imalangi
10253,mengeni
10254,kabirizi mangaribi
10257,nanyati
10260,kumwai
10270,kamnyalile
10273,chakwale mjini
10274,kilongoni
10276,no 1
10279,mwamagunguli
10281,iyalawe
10283,chakwale mjini
10286,mtamba shule
10287,madizini kati
10288,mwarongo
10289,mgeo
10290,simha
10292,matundasi a
10294,nsololo tankini
10299,mbae mashariki
10300,bukigi
10301,chavakaa
10303,ruaha kati
10306,kwiriba
10307,kwiriba
10309,mwamagunguli
10313,mofi
10316,muyenzi
10318,mkorongoni
10319,itugutu
10320,itaja
10322,mshoka
10324,umarini
10326,nyanzenda center
10327,ikiligano
10338,matanda
10340,kiromo b
10341,bunukangoma
10344,simambwe
10347,ng'ai
10350,lituhi 'a'
10355,bumburyahe
10357,usisya kati
10358,swebo
10362,mikole
10365,mofi
10366,matanda
10367,irangi
10372,mishenye
10373,ngerezini
10374,irangi
10375,kiwela a
10376,igomamhuli a
10377,nsololo tankini
10378,mbesi
10379,nsololo tankini
10381,ngujini
10382,makanya a
10383,mikuge
10385,kaole
10386,luchala
10387,lwanji
10391,emao
10393,itaja
10395,no 1
10396,nyaruziba
10400,tangu
10402,sadani
10404,mshoka
10406,kwasungura
10410,sayuni
10412,mlete
10414,mandel
10419,uyamba
10420,uhemeli kati
10421,m/kati
10422,hinjiri
10423,iziwira
10425,maliaseli
10426,mahongole a
10427,kabwana
10428,bulyang'ombe kati
10429,kiwalaa
10430,kipogoro
10431,ccb
10435,kabwana
10436,irangi
10439,kapugi
10441,marumbo
10442,kapugi
10446,iwengi
10447,kitipwi
10450,mwalukuliko
10451,mparamawe
10452,bulimbwe
10461,mijelejele
10464,ibadakuli kati
10466,mofi
10471,tarakwa
10472,no 1
10473,kasumo
10474,kumkomakoma
10479,mende
10480,ihenye
10481,mlesa
10482,kwa banda
10485,nemba
10486,rwisaka
10490,no 1
10491,disa mtaoni
10494,mwantondo
10495,mwagala b
10498,mubamba
10502,kishewa
10504,nduamughanga
10506,mshoka
10511,kidalini
10512,lusangi
10513,ipilingitya
10514,bukene mjini
10515,chabula
10516,saja kati
10519,ruponda
10522,simha
10526,benaco
10527,mnadan
10529,ilela
10530,mchekeni
10533,nyabusozi
10535,bunazi a
10540,tambuka relini
10542,itungulu
10543,junjuhu
10544,kitwechembogo b
10545,lepoloseki
10546,mhunda
10547,miguruwe
10553,iropa
10556,rwisaka
10560,chiminula a
10561,manka a
10563,matimba
10564,ngeke
10570,emao
10572,usisya kati
10573,kilungu
10578,shungubweni
10580,maande
10581,mashishineni
10583,dulaghag
10589,busango
10591,budushi b
10595,sayuni
10598,kibana
10600,no 1
10602,m/kati
10604,amuhama
10605,mwagwisu
10606,losirwa
10608,kisanjuni
10614,ishihimulwa
10619,sangamwampuya
10621,busengete
10627,jj
10633,tupa
10634,temekelo
10635,maliasili
10636,beselini
10638,mankwi
10639,masange
10642,kaseke
10643,ibadakuli kati
10645,mara b
10647,mchombe a
10654,emao
10655,ingerin
10657,komankwavi
10659,mwantondo
10662,nyanghuluku
10665,kitonto
10670,tuleane
10673,matogolo shule
10675,omukashenyi
10676,ugimu
10677,kigale
10679,mijelejele
10682,lyangoloko
10683,dumanang
10687,mbwamaji
10693,mbarika
10696,l
10698,no 1
10699,jj
10700,irangi
10703,hilu
10706,nsasa
10709,kwevigingi
10710,ipilingitya
10711,rwisaka
10714,stand a
10721,iwanga kati
10722,sayuni
10724,kamilangete
10725,unyang'ongo
10730,mawulo
10734,mtaa wa zingiziwa
10735,lyamrakana
10739,mungumaji
10742,shuleni street
10743,shambwe
10745,mbesi
10746,no 1
10749,funguni
10754,isalalo
10755,luhiti
10762,nure
10765,nsojo
10768,budushi b
10769,ilengititu
10771,mbingu
10772,mungumaji
10775,mgololo
10776,mtamba shule
10781,hinjiri
10783,ormelili
10784,msowero c
10785,magangasenga
10786,toatoa
10787,ngando
10788,ngerengere kaskazini
10790,kiseni
10792,hinjiri
10793,lomishila
10794,itunda a
10798,chizomoche
10804,matekelo
10805,kaluyango
10806,mji a
10807,kowere
10810,kipera njiapanda
10811,nanyati
10816,mwaluzilo
10817,mzambaraweni
10818,no 1
10819,ludewa
10820,mria
10824,mshoka
10826,kabagombe
10828,mwagwisu
10829,kabakara
10834,migege
10835,nyabinsinda
10836,isalalo
10839,metto
10843,mubamba
10844,maforoni kati
10852,kamilangete
10853,emao
10855,kilosa sido
10856,nyamkong'oti
10859,kabera
10862,matadi a
10866,mwamagunguli
10867,balangai
10868,shuleni street
10869,ngombezi
10870,godauni a
10871,ikunya
10873,izika
10874,irangi
10878,litembo chini
10879,nyamarasi
10881,zobogo
10883,mbweni
10885,jj
10890,nkiniziwa c
10895,dakama
10898,ilovi
10899,general tyre
10901,lupanga a
10903,sangamwampuya
10904,imalangi
10910,nkomalai
10914,namatanda
10916,kiloweko
10917,lubele
10923,lituhi 'a'
10924,bulige
10925,gwanumpu a
10928,mria
10929,mkapita
10934,simha
10936,iwiji
10938,mtamba chini
10939,salanga
10941,umarini
10943,ishilanga
10945,mpondomo
10947,nsololo tankini
10950,ngerengere kaskazini
10953,mgomba kaskazini
10954,rabai
10956,kyimo
10959,ibangamoyo
10960,iyunguya
10963,m/kati
10965,godauni a
10969,hilu
10970,mtukura
10973,magoweko
10977,mara a
10979,budushi b
10980,kiwalaa
10985,burengo
10986,lufiti
10987,kianama
10989,sebuleni
10990,mahango
10993,rambo
10998,madizini kati
10999,kashenshero
11000,komankwavi
11004,mirambi
11007,hasale
11009,mkoka
11013,imalangi
11015,migege
11016,bwani
11022,sayuni
11023,seuli
11024,kapugi
11025,senta 'b'
11026,nzumba
11029,bugumwa
11032,tangu
11039,igominyi
11040,kabirizi mangaribi
11041,kwanadenge
11043,kanalunwa
11045,mubamba
11046,lyamrakana
11047,mpingi a
11049,mhaka
11050,d/mashariki
11053,kemugongo a
11058,no 1
11060,unyarughe
11062,mhaka
11063,ishihimulwa
11068,nyakagando
11069,mubamba
11073,ngerengere kaskazini
11076,dulamu
11078,mkomambinda
11079,mji a
11081,namatanda
11083,hinjiri
11084,simha
11086,mdaga
11089,no 1
11090,simambwe
11095,murigha
11098,madizini kati
11100,mzambaraweni
11102,komolo
11103,mosi
11104,welu kati
11105,hinjiri
11107,afrka ya kati
11109,toatoa
11110,buswalila
11111,kamnyalile
11115,m/kati
11116,misha
11118,gweselo
11120,kambai
11124,kipera njiapanda
11126,endasak
11131,hilu
11133,rwisaka
11137,maliaseli
11142,oltukay
11144,rusesa
11146,barabara 7
11149,kahangara
11150,mkapita
11153,kiwela a
11155,nyashishi
11156,kabwana
11158,shebomeza
11159,usisya kati
11162,nyambili kaskazin
11163,usita
11164,matosa
11168,bwawan
11169,sukutali
11178,shuleni street
11180,emao
11185,kilungu
11187,mkeha
11188,kamilangete
11189,lusangi
11192,kisanzuni
11193,mwandeti
11194,junjuhu
11196,emao
11199,stand a
11201,bunukangoma
11202,kaluyango
11203,kandaskilieti
11205,fukayosi
11206,mkuhi kati
11210,vimetu
11211,hinjiri
11212,nyanghuluku
11214,ikovo
11223,iropa
11224,migege
11225,makovo
11229,hinjiri
11230,mji a
11231,chabula
11232,mhunda
11233,mbae mashariki
11234,kagenyi b
11236,njeje
11241,chakahaya
11242,merali
11243,tuleane
11244,mchombe a
11248,naimba
11251,mhaka
11253,ishilanga
11254,mandangeni
11258,ruaha kati
11259,nzihi b
11261,nyashishi
11262,izika
11267,igominyi
11268,maring'a juu
11269,hilu
11281,maduka
11285,mandel
11287,ndrumangeni
11288,nyabinsinda
11290,mahokoi
11292,bwawan
11294,katanini street
11295,ruhuwiko kanis
11296,no 1
11299,funguni
11303,nure
11310,benaco
11313,kiwili
11319,ipondejo
11322,chakahaya
11323,walla
11327,itombololo
11330,mamburay
11331,wikichi
11332,hilu
11333,matanda
11334,centre
11337,migege
11338,buswalila
11340,mininga a
11341,nyanzenda center
11342,mbae mashariki
11343,mria
11344,itungulu
11345,butonga
11346,chakwale mjini
11350,nyaruziba
11351,mkoka
11353,kwiriba
11355,sopa kati
11357,bulige
11358,nyakisiku
11359,maduka
11360,saja kati
11362,no 1
11366,mirambi
11367,tuleane
11369,kishewa
11371,dakau kati
11375,kidalini
11377,mlesa
11381,nyanzenda center
11383,kavambughu
11385,naisinyia
11386,nyabusozi
11387,chakwale mjini
11390,ngagama
11394,mgwasi
11396,nduamughanga
11398,kaseke
11402,kasanda
11405,wita
11406,lubele
11408,ichimbo
11413,nsololo tankini
11414,no 1
11420,nyabusozi
11423,mandawa
11424,kapugi
11429,mwalise
11430,ishihimulwa
11434,laiza
11441,lisimonji
11451,komstari
11455,mazizini
11457,matarau
11460,nyakitanga
11464,handei
11465,nakibondo
11467,sia
11469,itungulu
11478,miziro
11479,kitamuri
11482,konjula
11483,mwigumbi centre
11487,shuleni street
11490,nyakasero
11493,iyunguya
11495,ishilanga
11498,changaraw
11500,nyambili kaskazin
11505,bermi a
11506,maliasili
11511,irangi
11514,mgwashi
11515,marumbo
11517,centre
11518,murigha
11519,mkomambinda
11520,mahango
11521,barabara 7
11524,ntapisi kati
11525,shuleni street
11526,kumwai
11527,lusangi
11528,midahani
11533,nyamalebe
11534,no 1
11535,godauni a
11536,itaja
11538,imalangi
11539,zaburi
11540,usesi
11541,kinenulo
11545,ishihimulwa
11548,no 1
11552,unguuni
11555,mirambi
11556,iyalawe
11557,mengeni
11559,iziwira
11560,kapugi
11566,mahango
11568,kabakara
11572,nemba
11573,dinyanga
11576,nyaruziba
11577,imalangi
11578,simha
11581,centre
11582,go down
11584,maliasili
11587,madindo
11590,ngwamkanga
11592,tangu
11594,welu kati
11598,matarura
11600,no 1
11601,maini
11602,mtukura
11605,kisanjuni
11606,mkoka
11607,lalago mjini
11611,kibiti kusini
11618,ngombezi
11619,mwagala b
11620,ruaha kati
11624,vimetu
11625,plot
11629,mubamba
11637,simambwe
11639,bulyang'ombe kati
11644,miyomboni
11646,irua
11647,sebuleni
11649,naimba
11651,tupa
11652,mikaragata
11656,chabula
11657,mahango
11659,muningori
11661,msete
11667,magangasenga
11668,kingobwe
11669,mhunda
11676,mazizini
11679,mahango
11681,m/kati
11686,nyabianga ya kati
11687,endamagai
11690,moniki
11693,mankwi
11694,nkiniziwa c
11697,mgwasi
11701,makando
11702,kasanda
11704,sebuleni
11714,nyakitono
11717,naureni
11718,kagondo kaifo
11721,kinjumbi b
11723,kwamgoli
11724,igalila
11725,ilongelo
11726,kichongo
11728,lwanji
11732,kasanda
11737,mlucha
11738,omukashenyi
11739,tupa
11750,usesi
11755,mlesa
11756,sangamwampuya
11757,lung'angali
11758,madindika
11763,mfuruwashe
11764,kidalini
11768,dumanang
11773,mofi
11775,mvae
11777,bugugo
11779,chivu b
11780,salanga
11785,shanga
11786,rutenge a
11787,kabakara
11788,disa mtaoni
11789,nyanzenda center
11790,luwaita juu
11792,shuleni street
11797,liomero
11798,nyanungu
11799,imalangi
11800,zobogo
11802,isalalo
11803,rabiro
11804,kishale
11805,kwitangi
11806,balangai
11813,mtaa wa zingiziwa
11817,shihando
11818,amuhama
11819,reha
11820,iziwira
11821,matyazo a
11822,unyang'ongo
11823,kabera
11824,miziro
11826,budushi b
11827,ng'ombo kati
11831,kihogazi
11832,murusagamba
11836,usisya kati
11837,ipilingitya
11838,bugumwa
11839,lituhi 'a'
11840,mabangala
11841,no 1
11846,mhunda
11847,mipeko b
11850,mzenga a
11856,nyabusozi
11859,lomishila
11860,tuleane
11861,itaja
11863,mkwaja
11865,m/kati
11867,kyabakari
11868,chalangwa a
11872,itunda a
11879,masa chini
11887,fukayosi
11888,ngagama
11892,kapugi
11894,kashenshero
11896,tambuka relini
11898,ibangamoyo
11899,nakindu
11900,ikiligano
11904,masia
11908,kibana
11910,mganza kati
11911,imalangi
11912,kaibuku
11913,mshoka
11915,tangu
11916,mhunda
11917,kaluyango
11921,kiwalaa
11925,bilatenda
11929,chela center
11930,ikovo
11936,ikemeja
11940,beselini
11941,chalangwa a
11942,kabirizi mangaribi
11949,ikovo
11950,mtimbwani a
11951,mwalukuliko
11952,ng'amba
11953,wikichi
11959,ichimbo
11961,iziwira
11964,mirambi
11967,nzumba
11972,murigha
11973,emao
11975,shebomeza
11976,rambo
11977,kibululu
11978,mpondomo
11981,kilungu
11983,mbangamao
11985,jj
11986,dinyanga
11987,kasanda
11988,tanya
11995,kilungu
11996,kida chini
11997,manuwas
11998,isalalo
12001,no 1
12004,midahani
12005,itunda a
12007,nyamisati a
12008,kinepa
12009,kibululu
12010,goha
12015,mshoka
12016,ilengititu
12018,ilongelo
12019,ngado
12021,dakau kati
12027,kiegeani
12028,mchekeni
12029,moteti
12032,lekako
12033,mgwashi
12034,yungu
12035,kabirizi mangaribi
12036,mofi
12037,nyabenge
12039,riata
12041,kaluyango
12042,jj
12043,manuwas
12044,centre
12045,mwamagunguli
12046,goha
12052,mgeo
12055,moteti
12057,nyanswega
12061,moniki
12064,centre
12066,rwisaka
12068,rabai
12073,mwantondo
12074,matini
12077,mailimia
12080,manuwas
12081,mirambi
12082,mwagwisu
12083,katanini street
12086,m/kati
12090,mshoka
12091,kiduguda a
12093,kishiha
12094,mdaga
12101,olbili shuleni
12105,kwiriba
12110,zinga
12114,ismailiya
12116,kereshu
12117,tunzi
12122,hilu
12123,isalalo
12125,chabula
12127,halare
12128,salanga
12129,mgomba kaskazini
12131,kibana
12132,mubamba
12135,saja kati
12136,nsololo tankini
12139,lusangi
12141,bomu
12142,matongolo
12143,kibululu
12145,kwiriba
12147,kishale
12149,lusangi
12155,kwevigingi
12158,goha
12159,rusindasinde
12161,itungulu
12162,hudumani
12163,ngumbulu
12165,ukereni
12169,new city
12170,chela center
12171,tlawi juu
12174,mgeduli
12178,masange
12181,ingerin
12185,mwitambo
12186,budushi b
12187,ilongelo
12189,litembo chini
12190,itunda a
12192,chakwale mjini
12195,kwa masika
12196,itinde
12198,kwevigingi
12202,msanzi kati
12203,no 1
12208,mahuu
12209,sebuleni
12210,bermi a
12211,ipondejo
12213,lubindi
12215,mbesi
12221,nyashishi
12223,ibadakuli kati
12225,misha
12226,ishigwandama
12228,irangali
12230,kasanda
12233,nyabusozi
12235,anuru
12238,mahango
12239,nyambili kaskazin
12240,kabwana
12244,chabula
12249,chakahaya
12252,kinepa
12253,mpanda kati
12254,hasale
12257,nyashishi
12261,tandai
12262,nyanswega
12264,tlawi juu
12269,mazizini
12271,kibosou
12277,ishihimulwa
12278,hemwambo
12284,lusangi
12286,kamwene
12290,singiwe a
12292,no 1
12294,matanda
12296,ndulele
12297,marumbo
12303,ihenye
12306,doma stand
12308,isingiro stati
12313,mazighani
12314,digodigo mjini
12319,bugugo
12326,shuleni street
12329,kigale
12334,ishilanga
12336,mishenye
12338,sukula kati
12341,lugongoni
12344,itungulu
12345,kitipwi
12347,jineri
12348,usisya kati
12351,kiloweko
12352,unyang'ongo
12353,tiku
12355,mikole
12358,some
12359,ikiligano
12361,kenswa mta wa kwanza
12362,junjuhu
12365,kwaraa
12367,mkatanga
12369,mria
12370,mhunda
12372,handei
12373,usisya kati
12375,nsololo tankini
12377,nyabusozi
12379,midahani
12382,kitipwi
12383,isalalo
12384,usisya kati
12385,melela
12390,masela
12393,kizani
12396,kiutu
12398,leiwa
12402,stendi mpya
12404,lubindi
12407,matekelo
12408,ishihimulwa
12411,ngerezini
12412,isuhuni
12413,mubamba
12414,katuruka
12416,mwagwisu
12424,mtaa wa mbondole
12425,kabirizi mangaribi
12427,usisya kati
12429,kyenje
12430,simambwe
12431,lusangi
12434,kidalini
12438,kidalini
12440,ngerezini
12442,nyanswega
12443,kyuta
12446,ngombezi
12450,shuleni street
12451,usari
12452,kasanda
12454,itete a
12455,nyakitanga
12457,sovoyo
12459,geteba
12461,engikaleti
12463,nyashitundu
12465,kinepa
12467,bunukangoma
12468,kilemba
12470,sanya hoi
12472,kitui
12474,njeje
12478,rutenge a
12480,midahani
12485,buswalila
12486,kwa jokoo
12488,itugutu
12494,l
12498,mchekeni
12500,emao
12501,tambuka relini
12504,ololua
12513,ifugwa
12514,ng'ai
12517,migege
12518,nselembwe
12522,kitipwi
12523,imalangi
12525,goha
12526,ilovi
12527,miziro
12529,kamilangete
12531,ngagama
12533,mubamba
12535,simbo
12540,misha
12541,uhemeli kati
12542,bigwa barabarani
12543,zombengalawa
12550,junjuhu
12551,ishigwandama
12555,mchemela
12559,shihando
12560,afrka ya kati
12565,kihogazi
12566,zongomela
12569,kyafuma
12571,mkomang'ombe
12573,ihawa
12581,bukene mjini
12586,ngwala kati
12588,miguruwe
12590,arati
12591,isalalo
12593,ngana
12598,maande
12600,nyanzenda center
12601,isalalo
12604,nduamughanga
12605,melela
12608,tlawi juu
12609,napoko
12611,doroto
12612,ipapa kati
12613,iropa
12614,kigale
12618,nsojo
12620,mankwi
12623,barabara 7
12630,kibwe
12631,makovo
12634,nkeso a
12637,kanalunwa
12641,ituni
12647,centre
12648,plot
12650,migege
12651,kinepa
12652,sebuleni
12657,uvinza
12666,kwasungura
12667,mumigezi
12668,mkukwe
12672,bulale
12677,mtimbe
12679,udoweni
12680,tangu
12681,kamilangete
12684,kikara
12689,madizini kati
12690,bunukangoma
12691,hilu
12692,lusangi
12695,tuleane
12696,sia
12698,kenswa mta wa kwanza
12700,bukigi
12703,okaseni chini
12704,lepoloseki
12706,i/kati
12707,kasanda
12708,makovo
12710,tuleane
12711,ngerengere kaskazini
12712,mtindili
12713,mwamagunguli
12718,walla
12722,mji a
12727,sia
12733,itombololo
12734,kasumo
12735,changaraw
12736,m/kati
12740,ngoswak
12741,magadu
12745,kuvukareli
12747,mlesa
12748,kabwana
12749,ipapa kati
12751,no 1
12753,mayanda
12758,igegu
12761,imalangi
12764,igo
12765,go down
12766,kimaroroni
12768,nampako
12771,kihimbwa
12776,simbo
12778,kilosa sido
12781,mabamba mjini
12782,mengeni
12784,matosa
12786,mikaragata
12787,godauni a
12788,kasemi
12789,mikole
12790,mugumu
12793,kasese
12794,centre
12801,mungumaji
12804,msela
12806,ngana
12810,michenga c
12811,kibululu
12812,buswalila
12813,eworendeke
12818,buswalila
12819,mae kati
12822,chalinze mzee b
12826,lumemo a
12830,bukigi
12831,njoro sokoni street
12834,bunukangoma
12836,magadini a
12838,olumeli
12839,nzumba
12845,nyambili kaskazin
12846,itungulu
12847,masia
12848,migege
12850,mkapita
12855,cha mashariki
12856,matimba
12862,kibululu
12863,no 1
12866,matambwe
12869,kasemi
12871,imalangi
12872,mzenga a
12873,nselembwe
12874,igo
12875,simbo
12876,igomamhuli a
12885,mji a
12891,orbesh
12893,shihando
12894,no 1
12895,ichenga
12897,moyamayoka
12900,kimosonu
12908,olkolili
12909,nduta
12910,bomu
12911,no 1
12912,unyarughe
12913,batini b
12914,mpondomo
12917,kishewa
12918,mengeni
12919,lyamrakana
12928,kabagombe
12932,mofi
12938,kwiriba
12939,usesi
12940,ishigwandama
12943,lusangi
12944,simha
12946,unyang'ongo
12951,funguni
12952,siuyu
12953,chakwale mjini
12957,ishihimulwa
12959,kafulo
12962,gwanumpu a
12965,jj
12966,itefa
12967,no 1
12971,loloiboni
12973,ndolelezi
12976,dakau kati
12984,rulemba
12987,sangamwampuya
12989,ikovo
12991,kapugi
12992,ngando
12993,mjenga
12996,ngayagaye
12998,lusangi
12999,simha
13001,ruponda
13002,mwabeya
13004,lufilyo
13005,godauni a
13006,cha mashariki
13008,kibululu
13011,nsongoro
13021,isuhuni
13022,zongomela
13024,rwisaka
13025,kumwai
13027,kwasungura
13029,bukiriro kati
13033,tuleane
13034,nyabuchegeche
13040,bwawan
13045,madindo
13046,kilungu
13047,new city
13049,moa
13051,manka a
13052,ngerekwe
13056,kakirungu
13060,nsasa
13066,mipeko b
